prompt,completion
@thehill left wing panic because Hillary is weak and they know it this is a revolution a movement nothings going to help the left TrumpPence,"anger
disgust
fear"
"Be happy not because everything is good, but because you can see the good side of everything. ","joy
optimism"
@FJHobson @Beaker126 @Biastai how would you suggest we profile to stop right wing terror,"anticipation
fear"
you come running back to me saying how much you miss me then cower away when we acc try a friendship 👍🏼,"anger
disgust
sadness"
"When anger rises, think of the consequences. #quote #wisdom #anger",anger
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.","anticipation
optimism
trust"
Watch this amazing live.ly broadcast by @huntermcaseyy #lively #musically,joy
@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! #outrage,"anger
disgust"
On the drive home today I heard a censored version of Spirits by The Strumbellas. 'Guns' replaced with 'dreams'. Just NO. #awful #censorship,"anger
disgust"
It hasn't sunk in that I'm meeting the twins,"anticipation
optimism"
"Absolutely hate the Apple Watch iOS 10 update. Completely buggered some of my apps, including Spark. Awful interface, too. #grim","anger
disgust
sadness"
realising you have no conditioner after already shampooing 😓😓 ,"anger
disgust
pessimism
sadness"
"@Mysteri759 @Ren102e906 @slb42jcb @swoozyqyah Well, I'm too old, and too stubborn about facts &amp; history to be discouraged.","anger
pessimism
sadness"
Winner #Champion #school #lastyear #gouniversity #university #me #dark #Black #webstagram #blackandwhite,"joy
optimism"
@hesham786 that's the spirit #optimism,"joy
optimism"
"Of cheerfulness, or a good temper - the more it is spent, the more of it remains.","joy
optimism"
@1barkcom Thank you for the #follow. Looking forward to your tweets as they look entertaining!  #socialmedia,"anticipation
joy
optimism"
@_Hallospaceboy_ @DailyGrindhouse  I respect when someone can give a second chance to a movie they aren't a fan of. Why #horror is diverse.,fear
@Steeeevie_ breezy luvvvv,"joy
love"
"People are #hurt and #angry and it's hard to know what to do with that #anger Remember, at the end of the day, we're all #humans #bekind","anger
disgust
optimism
sadness"
Worry makes you look at the problem and God makes you look at the promise. #problem #promise #worry #fear #faith #God #theanswer #spiritu...,"fear
optimism"
Extreme sadness,sadness
@SQLBek My liver is elated that isn't us,joy
"@ExaltedCaptain reality in the form of endless tragedies. She didn't know how to react at first, being too frightened to repeat another--","anger
fear
sadness"
For what a beautiful day. ,"joy
optimism"
@Red9Nick @Audi_Nutz @NickBuck08 @Thompson2Neil @Insaniti_LFC @knoller2 @KemlynRoadStand @godisared don't be shy their great people👍🏻👍🏻,"joy
optimism"
.@POTUS Obama describes his temperament as 'steady &amp; on the buoyant side.',"joy
optimism"
The most important characteristic of leadership is the lack of #fear.  #activism #equity #revolution,"joy
optimism"
"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety #anxiety","fear
joy
love
optimism"
a vote for #killary is like sticking a knife in a toaster  #MakeAmericaGreatAgain,disgust
"the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.  #fatalism","anger
optimism"
@JoyOfBearding The Haunting is my favorite horror movie too! Actually one of my favorite movies of all time no matter the genre.,"joy
love
trust"
What a grim night #GetTheFireLit 🔥,"anger
anticipation
disgust
pessimism
sadness"
A warm #smile is the universal language of kindness William Arthur Ward #love #kindness,"joy
love
optimism"
Just watching crimewatch what kind of sick fuck touches 6 year olds 😡😡😡😡 shit like this makes me fume!!!,"anger
disgust"
My heads still in Ibiza but my body is sat at me desk at work #depressing,sadness
@_JESSICAVIDAL_ Just pour it down the sink and let him drink you.,disgust
@williamcontrol just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything #shy,"anger
disgust
fear
pessimism"
@Mysbananen yes hc and we got him very low. I know how it feels. Our damage is low enough as it is never mind having the rng of being enrage,"anger
disgust
optimism"
@GreensACT @ShaneRattenbury @carolinelec what about #publictransport to &amp; from #CanberraAirport. Most cities have. Mr Barr very #coy on.,
Man city's kit is dreadful!,"anger
disgust
sadness"
A black female LEO💙 was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive,"anger
disgust
fear"
"I love my mother, but talking about the recent horrific murders with her is exhausting. Is this really how America feels?","disgust
fear
joy
love"
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. #furious,"anger
disgust
sadness"
Don't be so shy #nl,"anticipation
disgust
optimism
sadness"
Gonna get some acupuncture today for all my damn anxiety 🙃🤕,fear
Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl,disgust
i already gets aggravated too fast like why aggravate me on purpose?,"anger
disgust"
Just put the winter duvet on ☃️❄️🌬☔️ ,"joy
optimism"
@Cinestrong something a cyber bully would say,"anger
disgust"
@JackHoward the Christmas episode genuinely had me in tears of laughter,"joy
love
optimism"
I'm a nervous wreck omg,"fear
pessimism
sadness"
@Deadspin @jrzy_boy This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst others.,"anger
anticipation
disgust
optimism"
@saraandgreg @Airbnb Another happy customer.  #secreteyes,"joy
optimism"
@lefluerr Lol yeah I read that but I stayed up and didn't nap tillI collect 3 people who I think they've got me 😂😂!!,joy
@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,"anger
disgust"
@Corsair those sparkling looks like a gay vampire 😁,"disgust
joy"
@DJ_JeanFranko growl!!!,"anger
disgust"
@NHLstoreNYC I'm cheering for @TeamNA_WCH and @TeamEUR_WCH #NHLNYCSweepstakes,"anticipation
joy
optimism
surprise"
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime ,
So she goes first. She gets her book signed &amp; I can barely take their picture cuz I'm shaking 😭😭😭😭😭,"fear
joy
sadness"
"What u do wen ur love cheats on u ? Wen thy don't understand the emotions behind the anger, the constant waiting.. what u do ? @ritujai18874","anger
disgust
fear
pessimism
sadness"
the Lord turn his face toward you and give you peace. Numbers 6:26 #truth #trust #promise #calm #justice #great #mighty #protected #delight,"joy
love
optimism
trust"
"tones - \n: 1/2 of my favourite chris pine stans. i love tones more than anything, mt sweet summer child i will attack anyone who hurts her","anticipation
joy
love"
Job interview tomorrow 😎 #bright side,"fear
joy
optimism"
"Sometimes I watch shitty tv to reinforce never giving up cuz if something is that fucking awful on tv, I still stand a chance. #optimism","anger
disgust
joy
optimism"
"I start work tmrw yall, i'm nervous lol","anticipation
fear
joy
pessimism"
@teenageic0n_ you'll be pleased to know my family are blues,"anticipation
joy
optimism
surprise"
THIS BOOK IS FRICKING INSANE LIKE HOLY CRAP. #panic,"anger
disgust
fear"
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,"anger
disgust
sadness"
"Was going to get a new #horror movie #tattoo tonight, but my artist flaked out on me for the 3rd time &amp; said he was done tattooing!","anger
fear"
It were during the past's mistakes- similar to terror was pretty remarkable.,"fear
optimism"
I don't ever know how to change the vibe once it's ruined. Is that considered holding a grudge? 😅,"anger
anticipation"
I think learning classical or ancient Japanese might help me get myself permanently out of depression. I sometimes suffer from sudden,"optimism
sadness
surprise"
@TheNotoriousMMA looking like @MIckeyRourkeFP in his heyday,"disgust
joy"
Ffs clan... seriously never been so disheartened,sadness
My encouragement today is my dog while my head is in a fog. #epicfail #depression #feelingfedup #tired #ihaveheardeverything #wondering,"love
optimism
sadness"
Pro-lifers are condemning #MenForChoice - but I haven't seen any of you criticize the dismal American foster care/adoption system.,"anger
disgust
pessimism
sadness"
@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do... #sike #losers ,"anger
disgust"
Most Americans think the media is nothing but Government propaganda BS. #lies #control #BS #RiggedSystem  #garbage #oreillyfactor,"anger
anticipation
disgust
pessimism"
"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. #awful","anger
disgust
sadness"
"I either look like a raging bitch, or I'm obnoxiously laughing at something not that funny. I don't think there's any middle ground.","anger
disgust"
@jaaames1993 Literally burst out laughing.,"joy
optimism
surprise"
Over 70% of social sharing is dark &amp; over 50% of web traffic comes from #darksocial. @colinzalewski #LIFTSocial,
My son 11 has 128 friends on Facebook and yet is moping around the house complaining he has no one to talk to. I'm right here son,sadness
Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife,"anger
disgust
optimism"
@RossKemp great programme tonight #sad #upsetting #extremeworld,"pessimism
sadness"
SOBRIETY®   trying to make being sober fashionable….can it be done ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #sober,"anticipation
joy
optimism"
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness
Blake lively is flawless,"anticipation
joy
optimism
trust"
Tremor!!!\n #tremor,"fear
sadness"
"@TurtleTitan2003 (She laughed a bit. Of course it was! Aria shook her head, calming her mirth so she could listen to Mikey.) No, actually. +","joy
optimism"
@partydelightsUK it's 5679787. Cannot DM you as we don't follow each other. Not such a  #party #fail #letdown,"disgust
sadness"
American horror story and chill tonight?😌,fear
@Fatumoriginal there's no sitcom better! If u can't laugh at Sheldon or Leonard then u are sober for real! No two ways about it,"anticipation
joy
optimism
surprise"
@alisontis otherwise you're committing a crime against your soul only sober ppl know what is good or bad for themselves,optimism
"When tears r inappropriate: 'This day is holy to our Lord. Do not grieve, for the joy of the LORD is your strength.' Nehemiah 8:10 NIV #joy","joy
optimism"
